GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assign2,coen6761.group.assign2,Quick,199,80,35,13,37,19,26,9,7,4
assign2,coen6761.group.assign2,Quick3way,169,0,26,0,34,0,22,0,9,0
